title,subtitle,author,publisher,pub_date,discount_rate,sale_price,original_price,sales_index,review_count,rating,tags
요즘 유치원 교사를 위한 에듀테크 활용법 : 캔바/패들렛/네이버/구글/태블릿 활용법,학급운영 / 수업자료 / 디지털 놀이 자료 / 바닷속 한글놀이 / 액티브 아케이드 / 오토드로우 / 퀵드로우 / 북크레이터 / ZOOM / 애니메이티드 드로잉,"전서아,김혜지,김은자,배수나,전진형저 외 1명정보 더 보기/감추기전서아김혜지김은자배수나전진형김진영",앤써북,2025년 11월,10,15120,16800,6495,39,9.9,
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,이호정저,리코멘드,2025년 11월,10,25200,28000,8511,4,10.0,
요즘 당근 AI 개발,"AI가 만든 파도 위에서 과감히 서핑하는 법. AI 에이전트, 프롬프트 엔지니어링, VoC 자동 분석, 운영자동화, 바이브 코딩 AI 검색과 추천까지 당근의 AI 활용 이야기",당근 팀저,골든래빗,2025년 10월,10,19800,22000,16302,86,9.9,#크레마클럽에있어요
AI 버블이 온다,우리는 진짜 인공지능을 보고 있는가?,"아르빈드 나라야난,사야시 카푸르저/강미경역",윌북(willbook),2025년 12월,10,22320,24800,10698,46,9.9,"#마케터는보라, #AI시대가온다, #AI관련서"
혼자 공부하는 머신러닝+딥러닝,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선저,한빛미디어,2025년 04월,10,28800,32000,19644,144,9.7,#분철
AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌저/변성윤역,한빛미디어,2025년 09월,10,36000,40000,12912,15,9.9,
된다! 하루 만에 준비하는 AI 학교 수업 활용법,"with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI","정인걸,김경수저",이지스퍼블리싱,2025년 03월,10,17820,19800,22203,39,10.0,#크레마클럽에있어요
무조건 도움되는 유아교사 업무경감,에듀테크 & AI 활용,"김나영,남동윤,이영은,장효정,최지이저 외 1명정보 더 보기/감추기김나영남동윤이영은장효정최지이황경미",교육과실천,2026년 01월,10,22950,25500,2862,9,10.0,
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐),신수진저",시프트,2025년 09월,10,18000,20000,16200,30,9.7,"#AI음악, #AI작곡"
인공지능이 다 해주는 브루 Vrew 영상 편집,"유튜브, 숏폼 영상부터 버튜버, 인공지능 목소리 더빙까지 생성형 AI로 영상 콘텐츠 제작하기",지현이저/브루 개발팀감수,시프트,2024년 10월,10,18000,20000,11316,19,9.7,
AI 에이전트 생태계,프레임워크와 프로토콜로 여는 새로운 패러다임,조쉬저,로드북,2025년 08월,10,24300,27000,17979,15,9.7,#분철
밑바닥부터 만들면서 배우는 LLM,GPT를 내 손으로 직접 단계별로 만들어보면서 대규모 언어 모델의 기본기를 탄탄히 채우기,세바스찬 라시카저/박해선역,길벗,2025년 09월,10,36000,40000,10842,22,9.6,#분철
바로 배워서 바로 써먹는 바이브 코딩,"캔바, 구글 앱스크립트, 파이어베이스, 러버블까지, 웹 앱 개발 도구를 활용한 AI 융합 교육 가이드","박찬,김병석,전수연,김지용,구현희저 외 3명정보 더 보기/감추기박찬김병석전수연김지용구현희전채원홍찬우이상선",다빈치books,2025년 09월,10,19800,22000,18048,43,10.0,
AI 게임 개발 with 코덱스,"혼자서도 프로처럼 AI 팀원과 캐릭터 제작부터 음원, 코딩, 배포, 수익화까지",정윤지(유리링)저,한빛미디어,2026년 02월,10,28800,32000,1968,3,10.0,
수노로 시작하는 AI 작곡,"10분이면 완성하는 배경음악, 대중음악, 동요 제작 가이드","강성우,한나래저",제이펍,2025년 12월,10,18000,20000,4104,18,8.6,
입상 교사만 아는 아무도 말해주지 않은 인성교육 연구대회 1등급의 비밀,"인성교육실천사례, 교총 현장교육연구대회 두 대회를 완벽 대비하는 입상 보고서 작성법","송경은,김승리,이한빈저",앤써북,2026년 01월,10,17820,19800,3357,6,10.0,
AI 내부자들,글로벌 탑티어들의 AI 미래보고서,"안건,황민영,김영현,이활석,박지혁저 외 13명정보 더 보기/감추기안건황민영김영현이활석박지혁홍창기설형욱문현지한승주이성민문인태이동현노지혜김수현이민아장요엘유윤아오창환",스마트북스,2025년 09월,10,19800,22000,2694,6,9.3,
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,"CHATGPT, 제미나이, 나노바나나, Suno, 노트북LM, Sora, 감마, 냅킨",이성원저,한빛미디어,2025년 10월,10,17100,19000,12435,39,9.7,#분철
LLM을 위한 프롬프트 엔지니어링,"LLM 구조 이해부터 프롬프트 전략, 대화형 에이전트 설계, 성과 평가까지","존 베리먼,앨버트 지글러저/김정인역",제이펍,2026년 01월,10,25200,28000,2754,6,9.7,
밑바닥부터 시작하는 딥러닝 1,파이썬으로 익히는 딥러닝 이론과 구현,사이토 고키저/개앞맵시역,한빛미디어,2025년 01월,10,23400,26000,11976,137,9.2,"#신경망, #파이썬, #머신러닝, #딥러닝"
AI 팀원이 다 해줌,챗GPT·퍼플렉시티·코파일럿·캔바·감마·브루 전원 투입!,이나현저,한빛미디어,2025년 12월,10,20700,23000,6294,136,9.9,"#챗GPT가이드, #챗GPT업무활용, #일잘러업무스킬, #AI관련서, #AI수업"
"바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다",,애디 오스마니저/강민혁역,한빛미디어,2025년 11월,10,20700,23000,4944,25,9.7,
